Value,Count,bps_aoi,evt_aoi,Freq,BPS_MODEL,BPS_NAME,GROUPVEG,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR,FRG_NEW,ACRES,REL_PERCEN,Freq_1,ACRES_1,REL_PERCEN_1,Freq_12,EVT_NAME,EVT_PHYS,EVT_GP_N,ACRES_12,REL_PERCEN_12
1,2456.000000000000000,-1111,7302,45823.000000000000000,-1111,Fill-Not Mapped,Fill-Not Mapped,-9999,-9999,-9999,-9999,-9999,10191.000000000000000,0.000000000000000,70287407.000000000000000,15631543.000000000000000,24.899999999999999,70287407.000000000000000,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,Yellow Birch-Sugar Maple Forest,15631543.000000000000000,24.899999999999999
2,347.000000000000000,-1111,9089,45823.000000000000000,-1111,Fill-Not Mapped,Fill-Not Mapped,-9999,-9999,-9999,-9999,-9999,10191.000000000000000,0.000000000000000,11525389.000000000000000,2563185.000000000000000,4.100000000000000,11525389.000000000000000,Laurentian-Acadian Sub-boreal Mesic Balsam Fir-Spruce Forest,Conifer,Spruce-Fir-Hardwood Forest,2563185.000000000000000,4.100000000000000
3,1224.000000000000000,-1111,9817,45823.000000000000000,-1111,Fill-Not Mapped,Fill-Not Mapped,-9999,-9999,-9999,-9999,-9999,10191.000000000000000,0.000000000000000,7265979.000000000000000,1615915.000000000000000,2.600000000000000,7265979.000000000000000,Northern & Central Ruderal Meadow,Exotic Herbaceous,Introduced Perennial Grassland and Forbland,1615915.000000000000000,2.600000000000000
4,79.000000000000000,-1111,9317,45823.000000000000000,-1111,Fill-Not Mapped,Fill-Not Mapped,-9999,-9999,-9999,-9999,-9999,10191.000000000000000,0.000000000000000,563683.000000000000000,125360.000000000000000,0.200000000000000,563683.000000000000000,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub,Introduced Upland Vegetation-Shrub,125360.000000000000000,0.200000000000000
5,34282.000000000000000,-1111,7292,45823.000000000000000,-1111,Fill-Not Mapped,Fill-Not Mapped,-9999,-9999,-9999,-9999,-9999,10191.000000000000000,0.000000000000000,14882453.000000000000000,3309778.000000000000000,5.300000000000000,14882453.000000000000000,Open Water,Open Water,Open Water,3309778.000000000000000,5.300000000000000
6,1218.000000000000000,-1111,9118,45823.000000000000000,-1111,Fill-Not Mapped,Fill-Not Mapped,-9999,-9999,-9999,-9999,-9999,10191.000000000000000,0.000000000000000,1192282.000000000000000,265157.000000000000000,0.400000000000000,1192282.000000000000000,Laurentian-Acadian Freshwater Marsh,Riparian,Inland Marshes and Prairies,265157.000000000000000,0.400000000000000
7,134.000000000000000,-1111,9055,45823.000000000000000,-1111,Fill-Not Mapped,Fill-Not Mapped,-9999,-9999,-9999,-9999,-9999,10191.000000000000000,0.000000000000000,987323.000000000000000,219575.000000000000000,0.300000000000000,987323.000000000000000,Boreal-Laurentian Bog,Riparian,Peatland Forests,219575.000000000000000,0.300000000000000
8,3981.000000000000000,-1111,7301,45823.000000000000000,-1111,Fill-Not Mapped,Fill-Not Mapped,-9999,-9999,-9999,-9999,-9999,10191.000000000000000,0.000000000000000,15695115.000000000000000,3490510.000000000000000,5.600000000000000,15695115.000000000000000,Laurentian-Acadian Sub-boreal Aspen-Birch Forest,Hardwood,Aspen-Birch Forest,3490510.000000000000000,5.600000000000000
9,14848171.000000000000000,11,7292,14848171.000000000000000,0,Open Water,Open Water,-9999,-9999,-9999,-9999,-9999,3302154.000000000000000,5.300000000000000,14882453.000000000000000,3309778.000000000000000,5.300000000000000,14882453.000000000000000,Open Water,Open Water,Open Water,3309778.000000000000000,5.300000000000000
10,1280.000000000000000,-1111,9056,45823.000000000000000,-1111,Fill-Not Mapped,Fill-Not Mapped,-9999,-9999,-9999,-9999,-9999,10191.000000000000000,0.000000000000000,19941980.000000000000000,4434990.000000000000000,7.100000000000000,19941980.000000000000000,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian,Peatland Forests,4434990.000000000000000,7.100000000000000
11,1065474.000000000000000,1608,9120,19222645.000000000000000,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,716,-9999,123,105,III-B,4275013.000000000000000,6.800000000000001,5027056.000000000000000,1117990.000000000000000,1.800000000000000,5027056.000000000000000,Laurentian-Acadian Wet Meadow,Riparian,Wet Meadow,1117990.000000000000000,1.800000000000000
12,931403.000000000000000,1613,9120,3533834.000000000000000,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,18,-9999,-9999,18,II-C,785906.000000000000000,1.300000000000000,5027056.000000000000000,1117990.000000000000000,1.800000000000000,5027056.000000000000000,Laurentian-Acadian Wet Meadow,Riparian,Wet Meadow,1117990.000000000000000,1.800000000000000
13,248794.000000000000000,1608,9118,19222645.000000000000000,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,716,-9999,123,105,III-B,4275013.000000000000000,6.800000000000001,1192282.000000000000000,265157.000000000000000,0.400000000000000,1192282.000000000000000,Laurentian-Acadian Freshwater Marsh,Riparian,Inland Marshes and Prairies,265157.000000000000000,0.400000000000000
14,84495.000000000000000,1613,9118,3533834.000000000000000,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,18,-9999,-9999,18,II-C,785906.000000000000000,1.300000000000000,1192282.000000000000000,265157.000000000000000,0.400000000000000,1192282.000000000000000,Laurentian-Acadian Freshwater Marsh,Riparian,Inland Marshes and Prairies,265157.000000000000000,0.400000000000000
15,369675.000000000000000,1613,9620,3533834.000000000000000,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,18,-9999,-9999,18,II-C,785906.000000000000000,1.300000000000000,2468089.000000000000000,548890.000000000000000,0.900000000000000,2468089.000000000000000,Laurentian-Acadian Shrub Swamp,Riparian,Inland Marshes and Prairies,548890.000000000000000,0.900000000000000
16,637838.000000000000000,1613,9056,3533834.000000000000000,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,18,-9999,-9999,18,II-C,785906.000000000000000,1.300000000000000,19941980.000000000000000,4434990.000000000000000,7.100000000000000,19941980.000000000000000,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian,Peatland Forests,4434990.000000000000000,7.100000000000000
17,4096581.000000000000000,1608,7481,19222645.000000000000000,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,716,-9999,123,105,III-B,4275013.000000000000000,6.800000000000001,38719682.000000000000000,8611050.000000000000000,13.699999999999999,38719682.000000000000000,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Atlantic Swamp Forests,8611050.000000000000000,13.699999999999999
18,844003.000000000000000,1613,7481,3533834.000000000000000,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,18,-9999,-9999,18,II-C,785906.000000000000000,1.300000000000000,38719682.000000000000000,8611050.000000000000000,13.699999999999999,38719682.000000000000000,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Atlantic Swamp Forests,8611050.000000000000000,13.699999999999999
19,173484.000000000000000,1613,9057,3533834.000000000000000,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,18,-9999,-9999,18,II-C,785906.000000000000000,1.300000000000000,1108599.000000000000000,246546.000000000000000,0.400000000000000,1108599.000000000000000,Boreal-Laurentian-Acadian Acidic Basin Fen,Riparian,Inland Marshes and Prairies,246546.000000000000000,0.400000000000000
20,680173.000000000000000,1608,9057,19222645.000000000000000,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,716,-9999,123,105,III-B,4275013.000000000000000,6.800000000000001,1108599.000000000000000,246546.000000000000000,0.400000000000000,1108599.000000000000000,Boreal-Laurentian-Acadian Acidic Basin Fen,Riparian,Inland Marshes and Prairies,246546.000000000000000,0.400000000000000
21,8936821.000000000000000,1608,9056,19222645.000000000000000,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,716,-9999,123,105,III-B,4275013.000000000000000,6.800000000000001,19941980.000000000000000,4434990.000000000000000,7.100000000000000,19941980.000000000000000,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian,Peatland Forests,4434990.000000000000000,7.100000000000000
22,652315.000000000000000,1608,9620,19222645.000000000000000,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,716,-9999,123,105,III-B,4275013.000000000000000,6.800000000000001,2468089.000000000000000,548890.000000000000000,0.900000000000000,2468089.000000000000000,Laurentian-Acadian Shrub Swamp,Riparian,Inland Marshes and Prairies,548890.000000000000000,0.900000000000000
23,253826.000000000000000,1608,9117,19222645.000000000000000,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,716,-9999,123,105,III-B,4275013.000000000000000,6.800000000000001,2876326.000000000000000,639680.000000000000000,1.000000000000000,2876326.000000000000000,Laurentian-Acadian Floodplain Forest,Riparian,Eastern Floodplain Forests,639680.000000000000000,1.000000000000000
