Value,Count
0,5101685.000000000000000
1,1787946.000000000000000
2,2304730.000000000000000
3,2258085.000000000000000
4,2079202.000000000000000
5,1860702.000000000000000
6,1701004.000000000000000
7,1546731.000000000000000
8,1419477.000000000000000
9,1302185.000000000000000
10,1206726.000000000000000
11,1115649.000000000000000
12,1048626.000000000000000
13,985217.000000000000000
14,918396.000000000000000
15,862957.000000000000000
16,814727.000000000000000
17,769585.000000000000000
18,728465.000000000000000
19,697407.000000000000000
20,662735.000000000000000
21,628208.000000000000000
22,597815.000000000000000
23,570203.000000000000000
24,545373.000000000000000
25,524783.000000000000000
26,502375.000000000000000
27,479583.000000000000000
28,462366.000000000000000
29,441551.000000000000000
30,425312.000000000000000
31,409671.000000000000000
32,393833.000000000000000
33,380495.000000000000000
34,368519.000000000000000
35,356044.000000000000000
36,342648.000000000000000
37,329825.000000000000000
38,319825.000000000000000
39,310871.000000000000000
40,301707.000000000000000
41,290715.000000000000000
42,282224.000000000000000
43,274095.000000000000000
44,266062.000000000000000
45,259564.000000000000000
46,250714.000000000000000
47,244953.000000000000000
48,237137.000000000000000
49,230197.000000000000000
50,223476.000000000000000
51,217621.000000000000000
52,212253.000000000000000
53,206009.000000000000000
54,200586.000000000000000
55,195112.000000000000000
56,191885.000000000000000
57,186502.000000000000000
58,182932.000000000000000
59,178088.000000000000000
60,174109.000000000000000
61,170283.000000000000000
62,166649.000000000000000
63,163224.000000000000000
64,159580.000000000000000
65,154853.000000000000000
66,151005.000000000000000
67,148723.000000000000000
68,145688.000000000000000
69,143401.000000000000000
70,140205.000000000000000
71,137218.000000000000000
72,135402.000000000000000
73,132416.000000000000000
74,129028.000000000000000
75,126590.000000000000000
76,124256.000000000000000
77,122685.000000000000000
78,119754.000000000000000
79,117013.000000000000000
80,114635.000000000000000
81,112016.000000000000000
82,109309.000000000000000
83,107887.000000000000000
84,106151.000000000000000
85,104799.000000000000000
86,103423.000000000000000
87,101537.000000000000000
88,99373.000000000000000
89,98349.000000000000000
90,97454.000000000000000
91,95826.000000000000000
92,93803.000000000000000
93,92330.000000000000000
94,90678.000000000000000
95,89319.000000000000000
96,87424.000000000000000
97,85878.000000000000000
98,85197.000000000000000
99,83217.000000000000000
100,81818.000000000000000
101,80958.000000000000000
102,79955.000000000000000
103,78995.000000000000000
104,78051.000000000000000
105,77212.000000000000000
106,75314.000000000000000
107,74326.000000000000000
108,73742.000000000000000
109,72037.000000000000000
110,70450.000000000000000
111,69832.000000000000000
112,69400.000000000000000
113,67667.000000000000000
114,66695.000000000000000
115,66630.000000000000000
116,65194.000000000000000
117,64831.000000000000000
118,63638.000000000000000
119,62707.000000000000000
120,61573.000000000000000
121,61035.000000000000000
122,60072.000000000000000
123,59161.000000000000000
124,58571.000000000000000
125,57692.000000000000000
126,56673.000000000000000
127,56633.000000000000000
128,55779.000000000000000
129,54811.000000000000000
130,54228.000000000000000
131,53343.000000000000000
132,52414.000000000000000
133,52267.000000000000000
134,51625.000000000000000
135,50977.000000000000000
136,50518.000000000000000
137,49714.000000000000000
138,49329.000000000000000
139,48914.000000000000000
140,48032.000000000000000
141,47420.000000000000000
142,46694.000000000000000
143,46730.000000000000000
144,46219.000000000000000
145,45645.000000000000000
146,44796.000000000000000
147,44471.000000000000000
148,43448.000000000000000
149,42945.000000000000000
150,43126.000000000000000
151,42218.000000000000000
152,41652.000000000000000
153,41299.000000000000000
154,40928.000000000000000
155,40754.000000000000000
156,39331.000000000000000
157,39190.000000000000000
158,38997.000000000000000
159,38342.000000000000000
160,37939.000000000000000
161,38100.000000000000000
162,37637.000000000000000
163,36740.000000000000000
164,36772.000000000000000
165,35558.000000000000000
166,35379.000000000000000
167,35093.000000000000000
168,34844.000000000000000
169,34855.000000000000000
170,34932.000000000000000
171,34312.000000000000000
172,33569.000000000000000
173,33789.000000000000000
174,33428.000000000000000
175,32610.000000000000000
176,33034.000000000000000
177,32453.000000000000000
178,31907.000000000000000
179,31593.000000000000000
180,31550.000000000000000
181,31164.000000000000000
182,30836.000000000000000
183,30539.000000000000000
184,30424.000000000000000
185,30056.000000000000000
186,30125.000000000000000
187,29250.000000000000000
188,29521.000000000000000
189,29450.000000000000000
190,28674.000000000000000
191,28492.000000000000000
192,27744.000000000000000
193,27947.000000000000000
194,27716.000000000000000
195,27454.000000000000000
196,27132.000000000000000
197,26915.000000000000000
198,26564.000000000000000
199,26536.000000000000000
200,26099.000000000000000
201,25989.000000000000000
202,25503.000000000000000
203,25117.000000000000000
204,25165.000000000000000
205,24702.000000000000000
206,24967.000000000000000
207,24266.000000000000000
208,24372.000000000000000
209,24106.000000000000000
210,23825.000000000000000
211,23629.000000000000000
212,23615.000000000000000
213,23347.000000000000000
214,23080.000000000000000
215,22940.000000000000000
216,22841.000000000000000
217,22642.000000000000000
218,21976.000000000000000
219,22353.000000000000000
220,21940.000000000000000
221,21570.000000000000000
222,21779.000000000000000
223,21663.000000000000000
224,21247.000000000000000
225,21009.000000000000000
226,20933.000000000000000
227,20747.000000000000000
228,20630.000000000000000
229,20214.000000000000000
230,20062.000000000000000
231,19816.000000000000000
232,19984.000000000000000
233,19571.000000000000000
234,19559.000000000000000
235,19455.000000000000000
236,19195.000000000000000
237,19337.000000000000000
238,19022.000000000000000
239,18919.000000000000000
240,18829.000000000000000
241,18586.000000000000000
242,18380.000000000000000
243,18240.000000000000000
244,18114.000000000000000
245,18176.000000000000000
246,18052.000000000000000
247,17807.000000000000000
248,17510.000000000000000
249,17730.000000000000000
250,17571.000000000000000
251,17445.000000000000000
252,17144.000000000000000
253,17122.000000000000000
254,16789.000000000000000
255,16796.000000000000000
256,16503.000000000000000
257,16410.000000000000000
258,16368.000000000000000
259,16213.000000000000000
260,16058.000000000000000
261,16113.000000000000000
262,15770.000000000000000
263,15708.000000000000000
264,15751.000000000000000
265,15431.000000000000000
266,15275.000000000000000
267,15232.000000000000000
268,15186.000000000000000
269,15155.000000000000000
270,14887.000000000000000
271,14837.000000000000000
272,14870.000000000000000
273,14662.000000000000000
274,14791.000000000000000
275,14763.000000000000000
276,14547.000000000000000
277,14368.000000000000000
278,14176.000000000000000
279,14074.000000000000000
